binder_id,target_id,binder,source,A_length,af3_ipSAE_min,af3_ipSAE_max,af3_ipSAE_avg,af3_LIS,af3_iptm_avg,af3_iptm_model_0,af3_ptm_avg,af3_ipae,af3_min_pae_contact,af3_pDockQ_min,af3_pDockQ2_max,RMSD_chA_aft_chB_align_input_af3,RMSD_complex_input_af3,af3_rosetta_interface_dG,af3_rosetta_interface_dG_SASA_ratio,af3_rosetta_interface_dSASA,af3_rosetta_interface_sc,af3_rosetta_interface_packstat,af3_rosetta_surface_hydrophobicity,af3_rosetta_interface_interface_hbonds,input_rosetta_interface_sc,input_rosetta_interface_dG,input_rosetta_interface_dG_SASA_ratio,input_rosetta_interface_dSASA,input_rosetta_interface_packstat,af3_pymol_delta_SASA,af3_pymol_percent_nonpolar,af3_pymol_hbonds,af3_pymol_num_interface_residues
Motif0003_bcov_4helix_00839_0001_0001_833_0001,FGFR2,1,Cao et al FGFR2,65.0,0.056,0.07,0.025,0.219,0.35,0.41,0.65,12.084,4.4,0.133,0.072,21.22,24.07,-41.38,-2.72,1523.21,0.68,0.54,0.17,3.0,0.81,-68.99,-4.44,1555.36,0.7,780.806,53.846,3.0,39.0
Motif0004_HEEHE_0562_0001_0001_634_0001,FGFR2,0,Cao et al FGFR2,65.0,0.462,0.463,0.276,0.482,0.77,0.77,0.82,6.61,2.1,0.458,0.527,20.57,16.6,-45.0,-2.61,1722.63,0.66,0.64,0.12,1.0,0.75,-70.71,-3.86,1833.56,0.64,904.349,47.727,7.0,44.0
Motif0015_HHH_eva_0485_0001,SARS_CoV2_RBD,0,Cao et al SARS_CoV2_RBD,55.0,0.052,0.143,0.014,0.145,0.56,0.59,0.82,12.369,5.3,0.2,0.101,54.03,34.73,-48.05,-3.31,1452.77,0.71,0.68,0.15,8.0,0.64,-52.39,-2.98,1755.89,0.69,615.021,42.857,5.0,35.0
Motif0022_HHH_eva_0407_0001_0003_4220_0001,FGFR2,0,Cao et al FGFR2,62.0,0.016,0.017,0.013,0.109,0.28,0.29,0.62,16.292,25.0,0.133,0.024,19.19,16.55,-40.3,-2.1,1915.42,0.52,0.57,0.16,3.0,0.71,-53.83,-3.49,1542.68,0.69,1047.332,53.191,4.0,47.0
Motif0023_bcov_4helix_07063_0001_9039_0001,FGFR2,0,Cao et al FGFR2,65.0,0.034,0.036,0.016,0.189,0.33,0.36,0.64,13.542,6.0,0.104,0.045,9.85,10.44,-30.52,-2.16,1412.32,0.51,0.56,0.21,2.0,0.76,-50.09,-2.81,1779.87,0.66,763.004,56.098,1.0,41.0
Motif0025_HEEHE_2988_0001_0002_3188_0001,FGFR2,0,Cao et al FGFR2,65.0,0.014,0.017,0.013,0.118,0.3,0.33,0.62,16.015,25.0,0.066,0.029,16.69,15.76,-36.8,-2.59,1418.5,0.66,0.64,0.28,2.0,0.76,-75.91,-3.89,1951.2,0.67,722.642,50.0,2.0,40.0
Motif0034_HEEHE_3081_0001_0001_9348_0001,FGFR2,0,Cao et al FGFR2,65.0,0.015,0.03,0.013,0.132,0.32,0.35,0.64,14.319,25.0,0.079,0.037,22.37,19.57,-39.07,-2.62,1488.7,0.61,0.63,0.03,4.0,0.79,-63.95,-3.54,1806.89,0.68,781.035,57.5,4.0,40.0
Motif0035_ems_3hM_3366_0001_7578_0001,FGFR2,0,Cao et al FGFR2,64.0,0.016,0.021,0.014,0.15,0.3,0.32,0.63,14.839,6.7,0.083,0.047,25.04,25.56,-27.07,-2.14,1267.78,0.54,0.53,0.12,2.0,0.79,-60.99,-3.49,1746.33,0.65,753.188,51.282,3.0,39.0
Motif0047_HHH_eva_0228_0001_4086_0001,FGFR2,0,Cao et al FGFR2,60.0,0.023,0.024,0.014,0.148,0.35,0.37,0.65,13.571,25.0,0.099,0.069,19.95,26.68,-29.81,-2.34,1273.75,0.57,0.7,0.23,3.0,0.71,-64.05,-3.55,1805.17,0.63,778.624,51.351,1.0,37.0
Motif0050_bcov_4helix_13787_0001_4269_0001,FGFR2,0,Cao et al FGFR2,65.0,0.017,0.019,0.014,0.149,0.33,0.36,0.63,15.134,6.5,0.13,0.04,15.92,14.73,-44.3,-2.95,1502.09,0.65,0.64,0.2,4.0,0.73,-58.22,-3.12,1863.65,0.6,927.376,63.83,2.0,47.0
Motif0122_ems_3hM_2027_0001_0001_0001,EGFR,0,Cao et al EGFR,62.0,0.029,0.073,0.014,0.138,0.43,0.49,0.81,11.994,25.0,0.167,0.11,20.75,24.13,-38.38,-3.05,1257.68,0.66,0.54,0.07,6.0,0.65,-61.25,-3.16,1936.77,0.64,664.34,43.59,7.0,39.0
Motif0127_bcov_4helix_11441_0001_4899_0001,FGFR2,1,Cao et al FGFR2,65.0,0.617,0.618,0.333,0.633,0.83,0.84,0.83,5.428,1.1,0.45,0.683,2.98,2.77,-41.1,-2.36,1743.78,0.59,0.61,0.13,5.0,0.79,-60.21,-3.24,1857.71,0.7,871.453,46.341,4.0,41.0
Motif0133_ems_4hM_3181_0002_0001_0001_7526_0001,FGFR2,0,Cao et al FGFR2,60.0,0.02,0.022,0.015,0.174,0.3,0.34,0.63,14.094,5.7,0.129,0.063,17.97,23.18,-34.33,-2.54,1349.9,0.64,0.69,0.07,4.0,0.75,-69.63,-4.09,1702.95,0.66,674.852,55.556,2.0,36.0
Motif0145_HHH_b2_03662_0001_0002,SARS_CoV2_RBD,0,Cao et al SARS_CoV2_RBD,56.0,0.524,0.709,0.302,0.582,0.86,0.86,0.88,6.095,1.5,0.266,0.764,1.9,1.55,-53.71,-2.93,1829.98,0.71,0.67,0.04,7.0,0.76,-76.07,-3.97,1914.69,0.68,970.508,38.0,3.0,50.0
Motif0273_bcov_4helix_05747_0001_5425_0001,FGFR2,0,Cao et al FGFR2,65.0,0.016,0.019,0.014,0.137,0.31,0.31,0.62,15.009,25.0,0.078,0.033,18.88,20.34,-37.06,-3.16,1173.46,0.66,0.59,0.1,1.0,0.63,-57.44,-3.31,1733.0,0.63,761.778,52.632,2.0,38.0
Motif0545_ems_3hM_1660_0001_0001_0001,EGFR,0,Cao et al EGFR,63.0,0.0,0.0,0.0,0.0,0.25,0.26,0.75,18.794,25.0,0.0,0.0,7.09,9.33,-34.46,-2.24,1541.51,0.64,0.6,0.09,4.0,0.76,-55.03,-2.93,1879.0,0.62,783.921,51.163,3.0,43.0
Motif0582_bcov_4helix_00052_0001_0001_1009_0001,FGFR2,0,Cao et al FGFR2,65.0,0.02,0.028,0.016,0.166,0.35,0.37,0.64,13.453,25.0,0.112,0.036,5.04,5.51,-53.07,-2.91,1825.87,0.7,0.67,0.13,7.0,0.74,-72.67,-3.71,1957.29,0.68,877.365,54.348,4.0,46.0
Motif0865_ems_3hM_3051_0001_0001,EGFR,0,Cao et al EGFR,61.0,0.128,0.242,0.08,0.204,0.61,0.64,0.85,9.558,25.0,0.291,0.195,18.39,27.04,-41.61,-2.23,1863.15,0.67,0.67,0.13,9.0,0.75,-55.61,-3.18,1750.26,0.67,926.769,45.833,6.0,48.0
Motif0947_HHH_b2_04372_0001,SARS_CoV2_RBD,0,Cao et al SARS_CoV2_RBD,52.0,0.0,0.0,0.0,0.0,0.23,0.3,0.75,19.017,25.0,0.0,0.0,12.61,46.9,-36.84,-2.16,1702.14,0.56,0.6,0.43,9.0,0.62,-57.66,-3.21,1798.12,0.68,926.424,34.884,7.0,43.0
Motif1002_HEEHE_2247_0001_0002_6807_0001,FGFR2,0,Cao et al FGFR2,65.0,0.552,0.651,0.345,0.537,0.79,0.81,0.85,5.958,1.3,0.382,0.673,22.44,18.17,-51.03,-2.9,1757.99,0.63,0.54,0.21,6.0,0.74,-55.08,-3.06,1802.73,0.66,947.059,52.381,4.0,42.0
Motif1002_HEEHE_2766_0001_9507_0001,FGFR2,0,Cao et al FGFR2,65.0,0.05,0.083,0.02,0.226,0.32,0.36,0.63,12.775,4.2,0.1,0.072,22.5,21.19,-40.72,-3.11,1309.71,0.71,0.64,0.13,3.0,0.72,-68.09,-3.53,1929.11,0.66,686.234,45.0,0.0,40.0
Motif1005_HEEHE_0935_0001_0001_4396_0001,FGFR2,0,Cao et al FGFR2,65.0,0.185,0.186,0.093,0.282,0.56,0.57,0.72,10.224,3.4,0.249,0.133,21.03,15.99,-34.37,-2.19,1572.92,0.54,0.6,0.07,1.0,0.75,-66.08,-3.6,1836.7,0.72,825.344,52.381,0.0,42.0
Motif1011_HEEHE_3217_0001_0001_4914_0001,FGFR2,0,Cao et al FGFR2,65.0,0.075,0.106,0.035,0.219,0.37,0.47,0.65,12.065,25.0,0.226,0.11,20.14,19.9,-31.59,-2.35,1342.2,0.51,0.63,0.23,1.0,0.75,-68.22,-4.01,1702.22,0.6,758.29,55.556,4.0,36.0
Motif1028_bcov_4helix_03508_0001_7637_0001,FGFR2,0,Cao et al FGFR2,65.0,0.014,0.014,0.012,0.081,0.25,0.31,0.61,16.189,25.0,0.128,0.027,20.29,29.46,-25.13,-1.88,1339.38,0.52,0.45,0.48,2.0,0.69,-66.97,-3.34,2007.34,0.57,828.041,48.649,6.0,37.0
Motif1039_HHH_eva_0215_0001_0003_7844_0001,FGFR2,0,Cao et al FGFR2,59.0,0.092,0.151,0.045,0.207,0.47,0.51,0.69,11.218,4.5,0.114,0.112,4.44,4.39,-35.76,-2.82,1268.1,0.72,0.65,0.19,1.0,0.77,-63.48,-3.74,1696.64,0.64,729.528,55.556,7.0,36.0
Motif1045_bcov_4helix_01753_0001_0002_2791_0001,FGFR2,0,Cao et al FGFR2,65.0,0.02,0.027,0.015,0.2,0.31,0.32,0.62,14.574,7.0,0.111,0.033,14.95,11.24,-35.16,-2.41,1460.91,0.59,0.54,0.18,3.0,0.73,-68.56,-3.89,1762.09,0.65,812.636,48.649,0.0,37.0
Motif1045_bcov_4helix_02640_0001_0002_6937_0001,FGFR2,0,Cao et al FGFR2,65.0,0.015,0.02,0.012,0.107,0.3,0.33,0.63,15.271,25.0,0.092,0.043,23.2,17.44,-35.56,-2.11,1687.34,0.49,0.57,0.32,1.0,0.68,-60.15,-3.39,1776.11,0.69,925.28,58.0,2.0,50.0
Motif1061_HEEHE_0895_0002_2594_0001,FGFR2,0,Cao et al FGFR2,65.0,0.532,0.605,0.288,0.527,0.79,0.79,0.83,6.24,1.3,0.272,0.526,3.44,5.06,-49.94,-3.13,1597.98,0.69,0.64,0.25,3.0,0.74,-65.97,-3.77,1752.03,0.69,870.551,52.273,3.0,44.0
Motif1062_bcov_4helix_04155_0001_0001_7980_0001,FGFR2,0,Cao et al FGFR2,65.0,0.016,0.02,0.013,0.142,0.31,0.33,0.63,16.499,25.0,0.065,0.047,21.31,21.45,-46.28,-3.51,1318.83,0.76,0.62,0.26,0.0,0.75,-60.46,-3.15,1918.14,0.65,625.521,68.571,0.0,35.0
Motif1062_bcov_4helix_11045_0002_7273_0001,FGFR2,0,Cao et al FGFR2,65.0,0.138,0.185,0.068,0.268,0.49,0.52,0.69,10.166,3.7,0.2,0.123,1.76,2.57,-46.8,-3.13,1495.71,0.68,0.61,0.33,3.0,0.68,-70.37,-3.91,1801.56,0.7,815.559,51.111,2.0,45.0
Motif1071_bcov_4helix_06003_0001_0002_4120_0001,FGFR2,0,Cao et al FGFR2,65.0,0.013,0.015,0.012,0.082,0.27,0.29,0.61,15.614,25.0,0.105,0.033,20.04,21.19,-32.71,-2.41,1357.09,0.62,0.57,0.24,1.0,0.71,-48.23,-3.2,1506.05,0.69,619.794,56.098,3.0,41.0
Motif1101_ems_4hC_2720_0001_0002_7378_0001,FGFR2,0,Cao et al FGFR2,60.0,0.151,0.167,0.056,0.226,0.46,0.5,0.71,10.56,5.1,0.205,0.114,17.81,19.27,-47.69,-3.15,1512.28,0.68,0.62,0.14,1.0,0.8,-66.72,-3.68,1813.05,0.69,882.208,48.889,4.0,45.0
Motif1187_p1_15H_GBL_16H_GABBL_16H_0303_0001_0001_0001_0001_0003_7831_0001,FGFR2,0,Cao et al FGFR2,55.0,0.015,0.016,0.013,0.13,0.28,0.37,0.64,13.6,25.0,0.133,0.056,17.03,29.82,-32.58,-1.99,1633.4,0.63,0.62,0.22,0.0,0.72,-70.07,-3.81,1840.83,0.67,924.442,45.652,2.0,46.0
Motif1199_ems_3hM_1581_0001_2727_0001,FGFR2,0,Cao et al FGFR2,62.0,0.113,0.123,0.031,0.185,0.37,0.48,0.66,11.956,5.3,0.118,0.182,17.1,16.58,-34.61,-2.93,1180.04,0.73,0.56,0.18,4.0,0.72,-74.21,-3.86,1922.4,0.68,579.774,50.0,1.0,30.0
Motif1209_ems_3hM_917_0001_9207_0001,FGFR2,0,Cao et al FGFR2,63.0,0.026,0.046,0.016,0.196,0.33,0.36,0.64,13.308,6.3,0.084,0.053,21.95,21.16,-29.54,-2.88,1026.23,0.64,0.64,0.17,1.0,0.8,-69.13,-4.1,1684.14,0.64,607.861,54.545,0.0,33.0
Motif1267_bcov_4helix_14055_0002_1930_0001,FGFR2,0,Cao et al FGFR2,65.0,0.267,0.268,0.173,0.365,0.63,0.67,0.76,8.241,3.1,0.311,0.283,17.09,25.03,-43.25,-2.33,1859.66,0.57,0.62,0.27,6.0,0.75,-68.28,-3.62,1888.75,0.76,976.106,50.0,6.0,50.0
Motif1309_bcov_4helix_12198_0001_5177_0001,FGFR2,0,Cao et al FGFR2,65.0,0.037,0.059,0.018,0.202,0.32,0.32,0.63,12.618,5.2,0.113,0.065,24.8,20.09,-35.06,-2.66,1319.79,0.62,0.58,0.1,2.0,0.75,-59.22,-3.42,1730.36,0.62,761.399,51.351,2.0,37.0
Motif1313_bcov_4helix_13499_0001,SARS_CoV2_RBD,0,Cao et al SARS_CoV2_RBD,65.0,0.0,0.0,0.0,0.0,0.2,0.26,0.71,20.241,25.0,0.0,0.0,14.52,34.1,-42.44,-2.35,1803.01,0.54,0.61,0.3,9.0,0.64,-46.07,-2.86,1612.39,0.7,897.915,42.0,8.0,50.0
Motif1320_ems_3hM_2575_0001_3430_0001,FGFR2,0,Cao et al FGFR2,63.0,0.618,0.65,0.341,0.636,0.81,0.82,0.84,5.761,1.1,0.37,0.451,4.08,2.97,-42.35,-2.52,1679.62,0.66,0.61,0.03,3.0,0.81,-63.47,-3.53,1800.1,0.73,947.847,41.86,5.0,43.0
Motif1352_bcov_4helix_12111_0001,SARS_CoV2_RBD,0,Cao et al SARS_CoV2_RBD,65.0,0.166,0.21,0.077,0.202,0.51,0.6,0.77,11.791,25.0,0.175,0.059,53.54,27.77,-59.27,-2.76,2145.19,0.58,0.57,0.39,1.0,0.73,-48.88,-2.95,1656.81,0.72,1100.331,60.938,3.0,64.0
Motif1388_bcov_4helix_10036_0001_7588_0001,FGFR2,0,Cao et al FGFR2,65.0,0.306,0.353,0.181,0.426,0.64,0.67,0.76,7.845,2.7,0.25,0.446,20.53,24.92,-38.69,-2.6,1485.55,0.63,0.59,0.27,2.0,0.67,-67.17,-3.51,1914.98,0.73,747.901,51.22,3.0,41.0
Motif2877_ems_3hC_242_0001_0001,SARS_CoV2_RBD,0,Cao et al SARS_CoV2_RBD,61.0,0.012,0.014,0.011,0.077,0.32,0.36,0.75,17.17,25.0,0.112,0.034,11.96,30.74,-40.57,-2.48,1638.13,0.55,0.64,0.19,7.0,0.63,-59.62,-2.98,2000.18,0.64,928.866,28.846,8.0,52.0
NYESO_parent_binder_partial_20_2_58_dldesign_1_af2pred,pMHC_NY1,0,pMHC screening NY2,145.0,0.248,0.406,0.164,0.363,0.87,0.88,0.9,8.41,3.3,0.307,0.444,1.37,2.36,-66.1,-2.2,2999.19,0.54,0.67,0.35,6.0,0.62,-78.48,-2.69,2918.19,0.68,1581.184,47.436,8.0,78.0
Pdl1_binder_AF2_28,Pdl1,0,Pdl1 Watson et al,95.0,0.255,0.325,0.158,0.347,0.59,0.6,0.74,8.196,2.8,0.234,0.34,7.32,2.99,-33.0,-2.15,1537.42,0.57,0.71,0.17,8.0,0.68,-37.76,-2.26,1673.82,0.64,859.305,26.829,12.0,41.0
Pdl1_binder_AF2_29,Pdl1,0,Pdl1 Watson et al,97.0,0.194,0.211,0.123,0.249,0.54,0.56,0.73,9.565,4.1,0.263,0.21,11.57,7.21,-39.75,-2.19,1812.49,0.59,0.63,0.16,12.0,0.58,-50.29,-2.4,2097.2,0.58,864.087,48.936,11.0,47.0
Pdl1_binder_AF2_41,Pdl1,0,Pdl1 Watson et al,94.0,0.535,0.599,0.363,0.59,0.76,0.77,0.85,5.123,1.9,0.514,0.661,2.03,2.1,-57.32,-2.71,2115.41,0.67,0.69,0.15,8.0,0.65,-44.04,-2.59,1700.88,0.66,1040.508,32.075,10.0,53.0
Pdl1_binder_AF2_58,Pdl1,0,Pdl1 Watson et al,98.0,0.704,0.764,0.468,0.662,0.86,0.86,0.89,4.442,1.2,0.515,0.827,1.61,1.41,-53.51,-2.89,1848.9,0.69,0.62,0.09,8.0,0.6,-44.61,-2.51,1776.53,0.62,976.993,40.0,13.0,50.0
Pdl1_binder_AF2_62,Pdl1,0,Pdl1 Watson et al,97.0,0.772,0.819,0.563,0.693,0.88,0.89,0.91,3.924,0.9,0.584,0.857,1.49,1.35,-54.26,-2.75,1973.15,0.64,0.68,0.04,9.0,0.56,-56.15,-2.82,1988.12,0.66,977.592,37.736,14.0,53.0
Razora712_sequence_2,EGFR,0,Adaptyv binder comp round 1,87.0,0.243,0.419,0.11,0.283,0.75,0.76,0.68,16.573,4.0,0.368,0.33,46.16,43.17,-36.57,-1.68,2179.34,0.65,0.68,0.2,5.0,0.51,-52.39,-1.92,2729.19,0.62,1147.447,38.182,6.0,55.0
Trka_binder_AF2_13,TrkA,0,TrkA Watson et al,65.0,0.658,0.791,0.422,0.685,0.87,0.87,0.89,4.092,0.9,0.398,0.871,2.05,2.01,-52.02,-3.27,1590.28,0.69,0.69,0.22,6.0,0.66,-47.1,-3.01,1563.36,0.56,870.619,44.186,3.0,43.0
Trka_binder_AF2_55,TrkA,0,TrkA Watson et al,81.0,0.321,0.407,0.181,0.424,0.67,0.7,0.77,8.243,2.4,0.308,0.346,3.13,2.23,-33.37,-2.54,1314.94,0.64,0.64,0.23,4.0,0.74,-40.02,-2.63,1524.54,0.63,620.095,38.235,4.0,34.0
Trka_binder_AF2_79,TrkA,0,TrkA Watson et al,62.0,0.762,0.854,0.495,0.751,0.9,0.9,0.91,3.238,0.8,0.498,0.905,2.22,2.61,-54.83,-3.42,1601.38,0.74,0.62,0.3,7.0,0.7,-45.98,-2.74,1675.49,0.57,787.77,50.0,6.0,42.0
Trka_binder_AF2_81,TrkA,0,TrkA Watson et al,99.0,0.36,0.433,0.234,0.44,0.69,0.7,0.78,7.419,2.5,0.402,0.497,2.15,2.07,-42.54,-2.55,1665.32,0.66,0.58,0.14,5.0,0.67,-49.21,-2.74,1796.31,0.62,902.61,42.553,6.0,47.0
Trka_binder_AF2_92,TrkA,0,TrkA Watson et al,62.0,0.477,0.591,0.25,0.56,0.77,0.77,0.83,5.741,1.5,0.38,0.686,1.2,1.31,-44.61,-3.19,1397.84,0.73,0.63,0.34,6.0,0.57,-36.0,-2.35,1534.37,0.58,776.254,50.0,8.0,38.0
Trka_binder_AF2_94,TrkA,0,TrkA Watson et al,95.0,0.739,0.79,0.529,0.701,0.85,0.88,0.89,3.642,1.1,0.422,0.914,2.4,2.21,-23.82,-1.88,1265.97,0.62,0.62,0.2,2.0,0.65,-37.78,-2.57,1470.1,0.64,726.899,44.737,3.0,38.0
adrian_tripp_egfr_cetuxi_0133_0002_A,EGFR,1,Adaptyv binder comp round 1,150.0,0.671,0.692,0.383,0.472,0.9,0.9,0.67,16.058,1.6,0.552,0.772,38.63,40.41,-66.47,-2.69,2474.28,0.62,0.69,0.28,10.0,0.59,-80.03,-2.43,3296.53,0.61,1419.756,38.028,11.0,71.0
bcov_r4_EHEE_rd4_0066_min_rise1_31_000000005_0001_0001,IL7Ra,0,Cao et al IL7Ra,40.0,0.0,0.0,0.0,0.0,0.23,0.31,0.77,19.193,25.0,0.0,0.0,10.99,18.51,-32.62,-2.38,1370.42,0.68,0.61,0.29,2.0,0.73,-58.92,-3.89,1513.48,0.64,824.854,51.22,5.0,41.0
bcov_revert_r1_ems_3hM_862_000000002_0001_23_41_H____ems_3hC_169_0002_0001_0002_0001_0001,TrkA,0,Cao et al TrkA,63.0,0.0,0.0,0.0,0.0,0.17,0.18,0.56,20.748,25.0,0.0,0.0,8.71,12.63,-30.63,-2.12,1448.18,0.47,0.49,0.04,3.0,0.79,-52.05,-3.73,1393.94,0.73,846.608,40.476,2.0,42.0
briannaughton_1_plus_2,EGFR,1,Adaptyv binder comp round 2,250.0,0.355,0.469,0.204,0.309,0.51,0.51,0.55,21.417,3.2,0.593,0.112,56.68,55.21,-105.98,-2.24,4727.59,0.57,0.59,0.31,16.0,0.53,-29.14,-1.5,1936.58,0.57,2777.973,37.405,24.0,131.0
carlos_bueno_WWB53,EGFR,0,Adaptyv binder comp round 1,200.0,0.0,0.0,0.0,0.0,0.18,0.19,0.46,27.995,25.0,0.0,0.0,16.39,24.37,-67.55,-1.73,3900.75,0.59,0.64,0.23,4.0,0.53,-53.12,-1.5,3530.67,0.55,2069.83,35.577,14.0,104.0
chenceshi1105_steven_binder_design_l82_s44755_it100_mpnn6,EGFR,0,Adaptyv binder comp round 2,82.0,0.505,0.644,0.261,0.451,0.89,0.89,0.7,13.827,2.0,0.44,0.658,37.34,43.69,-50.68,-2.5,2023.44,0.67,0.62,0.38,5.0,0.62,-63.42,-2.57,2468.64,0.65,1209.502,47.458,12.0,59.0
cside_mot_529224d0d35034490beef32fdb89bec2_0001_000000013_0001_57_63_H___bcov_4helix_04912_0001_0001,EGFR,0,Cao et al EGFR,65.0,0.015,0.015,0.012,0.072,0.24,0.25,0.75,19.208,25.0,0.068,0.02,14.87,33.95,-22.88,-1.85,1237.04,0.5,0.64,0.31,5.0,0.72,-61.0,-3.38,1804.06,0.62,739.546,40.541,6.0,37.0
cside_mot_bf5a27bd715de8d76fa148d2778c2cdd_0001_1_000000009_0001_37_42_H___bcov_4helix_11479_0001_0001,EGFR,0,Cao et al EGFR,65.0,0.416,0.623,0.264,0.448,0.75,0.8,0.88,6.212,2.4,0.327,0.506,4.21,3.98,-37.73,-1.75,2151.07,0.57,0.61,0.16,4.0,0.68,-51.9,-2.32,2239.63,0.64,995.627,45.283,7.0,53.0
cside_pol_aa59a2f430affb7376cda7908cd62d3f_0001_000000004_0001,EGFR,0,Cao et al EGFR,65.0,0.015,0.018,0.013,0.147,0.35,0.38,0.78,13.761,25.0,0.121,0.049,3.18,4.82,-39.59,-2.51,1575.04,0.62,0.58,0.17,6.0,0.69,-54.5,-2.88,1889.38,0.69,730.429,52.5,0.0,40.0
csplice_r1_4b397ff321495f1cf064223b6ad1b1e1_0001_000000002_0001_0001_24_33_H____6f654f4cfc61edc6ea6babecf4619bd0_0001_1_0001_0001_0001_16_50_HHH_34_02923_11_0001_4_crosslinked,VirB8,0,Cao et al VirB8,65.0,0.014,0.018,0.012,0.096,0.31,0.36,0.72,15.442,25.0,0.168,0.034,35.99,21.92,-48.43,-2.84,1707.8,0.69,0.62,0.16,2.0,0.8,-62.95,-3.58,1757.77,0.67,876.462,52.174,2.0,46.0
csplice_r1_EHEE_05087_000000002_0001_0001_26_35_H____ems_3hM_97_0001_0002_0001_0001_4_41_HHH_34_05836_10_0001,VirB8,0,Cao et al VirB8,65.0,0.012,0.014,0.012,0.08,0.27,0.28,0.7,18.348,25.0,0.103,0.026,50.68,25.53,-45.16,-3.14,1437.32,0.71,0.57,0.13,4.0,0.74,-67.57,-3.91,1729.33,0.7,794.38,56.098,3.0,41.0
csplice_r1_a2de759c170706188c6e693fd8ea43cc_0001_000000001_0001_0001_38_47_H____ems_3hM_3574_0001_0003_0001_0001_20_58_HHH_35_09984_27_0001,VirB8,0,Cao et al VirB8,65.0,0.575,0.604,0.378,0.568,0.84,0.85,0.88,5.556,2.0,0.44,0.839,9.35,11.6,-54.92,-3.45,1593.45,0.66,0.56,0.23,5.0,0.78,-59.9,-3.5,1709.01,0.7,842.0,52.5,3.0,40.0
elian_elian4,EGFR,0,Adaptyv binder comp round 2,100.0,0.478,0.597,0.271,0.394,0.86,0.87,0.7,14.57,2.3,0.494,0.608,39.09,46.8,-52.94,-2.16,2456.27,0.65,0.64,0.27,10.0,0.58,-57.7,-1.62,3568.59,0.65,1546.441,36.765,13.0,68.0
ems_3hM_19_000000027_0001,FGFR2,1,Cao et al FGFR2,62.0,0.672,0.741,0.403,0.666,0.85,0.86,0.88,4.644,1.1,0.339,0.696,2.03,2.73,-50.53,-3.22,1569.68,0.73,0.61,0.13,4.0,0.72,-69.22,-4.11,1684.08,0.68,890.49,51.163,4.0,43.0
ems_3hM_444_000000018_0001,FGFR2,0,Cao et al FGFR2,64.0,0.083,0.087,0.018,0.181,0.39,0.41,0.66,12.427,6.4,0.118,0.069,21.26,25.57,-32.11,-2.17,1479.6,0.53,0.61,0.1,5.0,0.69,-60.09,-3.11,1932.05,0.72,820.29,43.902,5.0,41.0
ems_p1_14H_GBL_16H_GABBL_15H_0571_0001_0001_0002_000000010_0001,FGFR2,0,Cao et al FGFR2,53.0,0.571,0.68,0.33,0.678,0.82,0.83,0.85,4.804,1.3,0.194,0.804,3.88,4.22,-41.75,-2.98,1400.7,0.61,0.7,0.15,2.0,0.78,-60.09,-3.66,1643.35,0.66,624.026,48.571,1.0,35.0
eugene_valkov_rfdiff_design_84_12_dldesign_3_af2pred,EGFR,0,Adaptyv binder comp round 1,84.0,0.264,0.443,0.144,0.308,0.79,0.8,0.67,16.716,3.7,0.449,0.315,38.49,43.53,-50.08,-2.45,2048.3,0.71,0.62,0.36,3.0,0.58,-64.54,-2.17,2973.2,0.57,1268.127,47.458,9.0,59.0
il10ra_site1_normal_mot_HHH_b2_07873_af2_000000172_0001_1_19_H___HHH_b1_01637_af2_0001_0000100003_0000001_0_af2pred_0001,IL10Ra,0,Bennet paper IL10Ra prospective,58.0,0.0,0.0,0.0,0.0,0.21,0.24,0.73,21.961,25.0,0.0,0.0,42.22,48.13,-10.96,-1.87,587.14,0.44,0.54,0.19,3.0,0.53,-37.36,-1.88,1986.19,0.57,399.969,15.789,0.0,19.0
klima_jason_egfr_aehce_2_20,EGFR,0,Adaptyv binder comp round 1,200.0,0.014,0.014,0.011,0.035,0.56,0.57,0.6,21.555,7.6,0.365,0.028,49.75,40.25,-76.52,-2.33,3289.99,0.56,0.63,0.17,12.0,0.42,-14.48,-0.56,2580.73,0.58,1770.834,40.217,21.0,92.0
longxing_Grafting2_ems_3hC_859_0001_0005_0001_0001,IL7Ra,0,Cao et al IL7Ra,60.0,0.0,0.0,0.0,0.0,0.26,0.29,0.74,19.569,25.0,0.0,0.0,20.81,38.01,-36.44,-2.23,1631.78,0.63,0.6,0.06,3.0,0.74,-53.66,-3.41,1572.62,0.63,915.459,40.0,4.0,40.0
longxing_ems_3hM_1179_000000009_0001_0001,IL7Ra,0,Cao et al IL7Ra,63.0,0.012,0.014,0.011,0.07,0.26,0.32,0.74,19.561,25.0,0.071,0.021,15.75,30.08,-32.86,-2.17,1511.97,0.53,0.54,0.18,5.0,0.68,-54.52,-3.61,1511.5,0.64,869.968,47.727,4.0,44.0
longxing_ems_3hM_1894_000000008_0001_0001,IL7Ra,0,Cao et al IL7Ra,62.0,0.0,0.0,0.0,0.0,0.17,0.19,0.71,22.627,25.0,0.0,0.0,21.45,42.42,-33.32,-2.23,1494.32,0.63,0.59,0.03,2.0,0.72,-61.5,-3.99,1542.65,0.67,738.729,55.263,1.0,38.0
